name,yes
Amador,38.60%
Butte,51.20%
Calaveras,40.00%
Colusa,46.30%
Del Norte,43.70%
El Dorado,38.50%
Glenn,43.00%
Inyo,43.10%
Kern,51.90%
Kings,51.40%
Lassen,36.10%
Madera,45.60%
Mariposa,41.20%
Modoc,31.50%
Placer,43.40%
Plumas,37.70%
Shasta,38.10%
Sierra,40.30%
Siskiyou,40.20%
Sutter,47.20%
Tehama,37.60%
Trinity,41.50%
Tulare,50.90%
Tuolumne,39.00%
Yuba,45.00%
